package name,package version(s),MSC ID's
@ahmedhfarag/ngx-perfect-scrollbar,20.0.20,MSC-2025-8060
@ahmedhfarag/ngx-virtual-scroller,4.0.4,MSC-2025-8064
@art-ws/common,2.0.22,MSC-2025-8071
@art-ws/config-eslint,2.0.4,MSC-2025-8072
@art-ws/config-eslint,2.0.5,MSC-2025-8073
@art-ws/config-ts,2.0.7,MSC-2025-8076
@art-ws/config-ts,2.0.8,MSC-2025-8074
@art-ws/db-context,2.0.21,MSC-2025-8075
@art-ws/di,2.0.28,MSC-2025-8080
@art-ws/di-node,2.0.13,MSC-2025-8078
@art-ws/eslint,1.0.5,MSC-2025-8079
@art-ws/eslint,1.0.6,MSC-2025-8077
@art-ws/fastify-http-server,2.0.24,MSC-2025-8081
@art-ws/http-server,2.0.21,MSC-2025-8083
@art-ws/openapi,0.1.9,MSC-2025-8082
@art-ws/package-base,1.0.5,MSC-2025-8084
@art-ws/package-base,1.0.6,MSC-2025-8087
@art-ws/prettier,1.0.5,MSC-2025-8089
@art-ws/prettier,1.0.6,MSC-2025-8088
@art-ws/slf,2.0.15,MSC-2025-8085
@art-ws/ssl-info,1.0.9,MSC-2025-8091
@art-ws/ssl-info,1.0.10,MSC-2025-8090
@art-ws/web-app,1.0.3,MSC-2025-8093
@art-ws/web-app,1.0.4,MSC-2025-8092
@crowdstrike/commitlint,8.1.1,MSC-2025-8070
@crowdstrike/commitlint,8.1.2,MSC-2025-8492
@crowdstrike/falcon-shoelace,0.4.1,MSC-2025-8086
@crowdstrike/foundry-js,0.19.1,MSC-2025-8094
@crowdstrike/foundry-js,0.19.2,MSC-2025-8494
@crowdstrike/glide-core,0.34.2,MSC-2025-8339
@crowdstrike/glide-core,0.34.3,MSC-2025-8495
@crowdstrike/logscale-dashboard,1.205.1,MSC-2025-8342
@crowdstrike/logscale-dashboard,1.205.2,MSC-2025-8516
@crowdstrike/logscale-file-editor,1.205.1,MSC-2025-8340
@crowdstrike/logscale-file-editor,1.205.2,MSC-2025-8504
@crowdstrike/logscale-parser-edit,1.205.1,MSC-2025-8338
@crowdstrike/logscale-parser-edit,1.205.2,MSC-2025-8517
@crowdstrike/logscale-search,1.205.1,MSC-2025-8453
@crowdstrike/logscale-search,1.205.2,MSC-2025-8518
@crowdstrike/tailwind-toucan-base,5.0.1,MSC-2025-8385
@crowdstrike/tailwind-toucan-base,5.0.2,MSC-2025-8505
@ctrl/deluge,7.2.1,MSC-2025-7961
@ctrl/deluge,7.2.2,MSC-2025-8402
@ctrl/golang-template,1.4.2,MSC-2025-8448
@ctrl/golang-template,1.4.3,MSC-2025-8421
@ctrl/magnet-link,4.0.3,MSC-2025-8381
@ctrl/magnet-link,4.0.4,MSC-2025-8351
@ctrl/ngx-codemirror,7.0.1,MSC-2025-8394
@ctrl/ngx-codemirror,7.0.2,MSC-2025-8506
@ctrl/ngx-csv,6.0.1,MSC-2025-8446
@ctrl/ngx-csv,6.0.2,MSC-2025-8403
@ctrl/ngx-emoji-mart,9.2.1,MSC-2025-8352
@ctrl/ngx-emoji-mart,9.2.2,MSC-2025-8519
@ctrl/ngx-rightclick,4.0.1,MSC-2025-8364
@ctrl/ngx-rightclick,4.0.2,MSC-2025-8386
@ctrl/qbittorrent,9.7.1,MSC-2025-8437
@ctrl/qbittorrent,9.7.2,MSC-2025-8397
@ctrl/react-adsense,2.0.1,MSC-2025-8478
@ctrl/react-adsense,2.0.2,MSC-2025-8383
@ctrl/shared-torrent,6.3.1,MSC-2025-8355
@ctrl/shared-torrent,6.3.2,MSC-2025-8373
@ctrl/tinycolor,4.1.1,MSC-2025-8488
@ctrl/tinycolor,4.1.2,MSC-2025-8496
@ctrl/torrent-file,4.1.1,MSC-2025-8464
@ctrl/torrent-file,4.1.2,MSC-2025-8384
@ctrl/transmission,7.3.1,MSC-2025-8390
@ctrl/ts-base32,4.0.1,MSC-2025-8431
@ctrl/ts-base32,4.0.2,MSC-2025-8374
@hestjs/core,0.2.1,MSC-2025-8461
@hestjs/cqrs,0.1.6,MSC-2025-8472
@hestjs/demo,0.1.2,MSC-2025-8414
@hestjs/eslint-config,0.1.2,MSC-2025-8428
@hestjs/logger,0.1.6,MSC-2025-8343
@hestjs/scalar,0.1.7,MSC-2025-8432
@hestjs/validation,0.1.6,MSC-2025-8368
@nativescript-community/arraybuffers,1.1.6,MSC-2025-8150
@nativescript-community/arraybuffers,1.1.7,MSC-2025-8151
@nativescript-community/arraybuffers,1.1.8,MSC-2025-8148
@nativescript-community/gesturehandler,2.0.35,MSC-2025-8444
@nativescript-community/perms,3.0.5,MSC-2025-8396
@nativescript-community/perms,3.0.6,MSC-2025-8425
