package name,package version,MSC ID
02-echo,0.0.7,MSC-2025-10985
@accordproject/concerto-analysis,3.24.1,MSC-2025-10985
@accordproject/concerto-linter,3.24.1,MSC-2025-10985
@accordproject/concerto-linter-default-ruleset,3.24.1,MSC-2025-10985
@accordproject/concerto-metamodel,3.12.5,MSC-2025-10985
@accordproject/concerto-types,3.24.1,MSC-2025-10985
@accordproject/markdown-it-cicero,0.16.26,MSC-2025-10985
@accordproject/template-engine,2.7.2,MSC-2025-10985
@actbase/css-to-react-native-transform,1.0.3,MSC-2025-10983
@actbase/native,0.1.32,MSC-2025-10983
@actbase/node-server,1.1.19,MSC-2025-10983
@actbase/react-absolute,0.8.3,MSC-2025-10983
@actbase/react-daum-postcode,1.0.5,MSC-2025-10983
@actbase/react-kakaosdk,0.9.27,MSC-2025-10983
@actbase/react-native-actionsheet,1.0.3,MSC-2025-10983
@actbase/react-native-devtools,0.1.3,MSC-2025-10981
@actbase/react-native-fast-image,8.5.13,MSC-2025-10983
@actbase/react-native-kakao-channel,1.0.2,MSC-2025-10983
@actbase/react-native-kakao-navi,2.0.4,MSC-2025-10983
@actbase/react-native-less-transformer,1.0.6,MSC-2025-10983
@actbase/react-native-naver-login,1.0.1,MSC-2025-10983
@actbase/react-native-simple-video,1.0.13,MSC-2025-10983
@actbase/react-native-tiktok,1.1.3,MSC-2025-10983
@afetcan/api,0.0.13,MSC-2025-10985
@afetcan/storage,0.0.27,MSC-2025-10985
@ahmedhfarag/ngx-perfect-scrollbar,20.0.20,MSC-2025-8060
@ahmedhfarag/ngx-virtual-scroller,4.0.4,MSC-2025-8064
@alaan/s2s-auth,2.0.3,MSC-2025-10985
@alexadark/amadeus-api,1.0.4,MSC-2025-10985
@alexadark/gatsby-theme-events,1.0.1,MSC-2025-10985
@alexadark/gatsby-theme-wordpress-blog,2.0.1,MSC-2025-10985
@alexadark/reusable-functions,1.5.1,MSC-2025-10985
@alexcolls/nuxt-socket.io,0.0.7,MSC-2025-10983
@alexcolls/nuxt-socket.io,0.0.8,MSC-2025-10983
@alexcolls/nuxt-ux,0.6.1,MSC-2025-10983
@alexcolls/nuxt-ux,0.6.2,MSC-2025-10983
@antstackio/eslint-config-antstack,0.0.3,MSC-2025-10985
@antstackio/express-graphql-proxy,0.2.8,MSC-2025-10985
@antstackio/graphql-body-parser,0.1.1,MSC-2025-10985
@antstackio/json-to-graphql,1.0.3,MSC-2025-10985
@antstackio/shelbysam,1.1.7,MSC-2025-10985
@art-ws/common,2.0.22,MSC-2025-8071
@art-ws/common,2.0.28,MSC-2025-8565
@art-ws/config-eslint,2.0.4,MSC-2025-8072
@art-ws/config-eslint,2.0.5,MSC-2025-8073
@art-ws/config-ts,2.0.7,MSC-2025-8076
@art-ws/config-ts,2.0.8,MSC-2025-8074
@art-ws/db-context,2.0.21,MSC-2025-8075
@art-ws/db-context,2.0.24,MSC-2025-8550
@art-ws/di,2.0.28,MSC-2025-8080
@art-ws/di,2.0.32,MSC-2025-8566
@art-ws/di-node,2.0.13,MSC-2025-8078
@art-ws/eslint,1.0.5,MSC-2025-8079
@art-ws/eslint,1.0.6,MSC-2025-8077
@art-ws/fastify-http-server,2.0.24,MSC-2025-8081
@art-ws/fastify-http-server,2.0.27,MSC-2025-8523
@art-ws/http-server,2.0.21,MSC-2025-8083
@art-ws/http-server,2.0.25,MSC-2025-8522
@art-ws/openapi,0.1.12,MSC-2025-8521
@art-ws/openapi,0.1.9,MSC-2025-8082
@art-ws/package-base,1.0.5,MSC-2025-8084
@art-ws/package-base,1.0.6,MSC-2025-8087
@art-ws/prettier,1.0.5,MSC-2025-8089
@art-ws/prettier,1.0.6,MSC-2025-8088
@art-ws/slf,2.0.15,MSC-2025-8085
@art-ws/slf,2.0.22,MSC-2025-8567
@art-ws/ssl-info,1.0.10,MSC-2025-8090
@art-ws/ssl-info,1.0.9,MSC-2025-8091
@art-ws/web-app,1.0.3,MSC-2025-8093
@art-ws/web-app,1.0.4,MSC-2025-8092
@aryanhussain/my-angular-lib,0.0.23,MSC-2025-10983
@asyncapi/avro-schema-parser,3.0.25,MSC-2025-10983
@asyncapi/avro-schema-parser,3.0.26,MSC-2025-10985
@asyncapi/bundler,0.6.5,MSC-2025-10983
@asyncapi/bundler,0.6.6,MSC-2025-10983
@asyncapi/cli,4.1.2,MSC-2025-10983
@asyncapi/cli,4.1.3,MSC-2025-10983
@asyncapi/converter,1.6.3,MSC-2025-10983
@asyncapi/converter,1.6.4,MSC-2025-10985
@asyncapi/diff,0.5.1,MSC-2025-10983
@asyncapi/diff,0.5.2,MSC-2025-10983
@asyncapi/dotnet-rabbitmq-template,1.0.1,MSC-2025-10983
@asyncapi/dotnet-rabbitmq-template,1.0.2,MSC-2025-10983
